,biotope,family,PC1_barycenter,PC2_barycenter,PC3_barycenter
0,Grasslands,Alaudidae,2.264065698418156,2.0143544186158815,-1.4687493932950835
1,Grasslands,Estrildidae,0.3559474276045786,1.3518240277084412,-0.9391010889871148
2,Grasslands,Hirundinidae,0.5766469738698771,1.9271193749225979,-0.9045444308074536
3,Grasslands,Charadriidae,-1.3745422546188149,0.4266888910120944,0.7409086399488953
4,Forest,Nectariniidae,0.2792077186723506,0.7805509844181063,-0.04219152492632708
5,Forest,Platysteiridae,-1.5525261547932414,0.5975616492702166,2.4634820628829517
6,Forest,Zosteropidae,0.6330453352385226,1.812557459750463,1.6964458074586686
7,Forest,Monarchidae,3.227707264371332,1.038472836569901,-0.3913058340018052
8,Wetlands,Burhinidae,0.8792357751110879,0.42522305409635863,5.187001014109344
9,Wetlands,Acrocephalidae,0.5829789211544208,0.43871564017845,-0.336519836849972
10,Wetlands,Rallidae,-0.4900994344089825,-0.9176116624674038,-0.37002170588467354
11,Wetlands,Ploceidae,-1.825207102995182,-0.12156951608082935,0.9926314424146614
12,Wetlands,Sarothruridae,-0.2828093879550963,1.1594599115806064,1.0465510404037397
13,Wetlands,Ardeidae,3.4458085412307726,-2.239141501980529,1.6878710233653995
14,Woodlands,Cuculidae,-0.7873365220529464,0.7805800195247541,1.1011874837829485
15,Woodlands,Malaconotidae,2.4862139510561754,-1.1396962023552495,2.3432498289985104
16,Woodlands,Treskiornithidae,5.684577176458973,-0.6169979463654445,7.063674537509859
17,Woodlands,Phasianidae,4.598455807872256,-1.985266496790826,-0.580216636668111
18,Woodlands,Psittacidae,1.3215903470334769,1.38237295024434,0.518432950577239
19,Woodlands,Nectariniidae,0.8886108227354466,1.135192471149225,-0.5449107283299408
20,Woodlands,Pycnonotidae,0.5163549819705574,0.646133250665081,-0.2424875852359327
21,Woodlands,Corvidae,4.943464795026707,-2.0229742776457695,3.4977476122075104
22,Woodlands,Alcedinidae,-1.0664433001766176,0.6504425915536717,-0.311031380229848
23,Woodlands,Muscicapidae,0.19570047377842098,1.1942928157186072,1.510236259528886
24,Woodlands,Turdidae,0.41392506911840443,0.9069681298402971,0.9726265200542027
25,Woodlands,Colombidae,-1.9712535828155926,-0.2900319226428609,1.9833684810880559
26,Woodlands,Cisticolidae,-0.2826058413175355,0.09961881921567223,0.4027451900228566
27,Woodlands,Upupidae,-2.8491247309825747,-0.4595293000632984,1.4919238940575585
28,Woodlands,Caprimulgidae,-0.35159910859729504,1.0598874363843993,4.783051804605153
29,Woodlands,Eurylaimidae,2.460435851060856,0.45371103177485594,7.918339781330225
30,Marshlands,Nectariniidae,1.8061902913174301,1.1882888132695866,-0.425924565080063
31,Marshlands,Rallidae,-1.3174623173482038,0.611029585570376,-0.09471602459364564
32,Marshlands,Strigidae,0.8727757295282836,1.4107405854704171,1.5955124418494202
33,Marshlands,Meropidae,-0.9458605105997756,0.677026346421998,-0.10118032276059749
34,Marshlands,Hirundinidae,2.5692599129201636,2.1968940651356146,-1.7479961483020465
